Bus No,Via
33D,"ukkadam,sundarapuram,malumichampatti,othakal mandapam,kinathu kadavu"
33E,"ukkadam,sundarapuram,malumichampatti,othakal mandapam,kinathu kadavu"
33G,"ukkadam,sundarapuram,malumichampatti,othakal mandapam"
33H,"ukkadam,sundarapuram,malumichampatti,othakal mandapam"
34,"railway station,gandhipark,velandipalayam,idayarpalayam,kanuvai"
35,"gandhipuram,townhall,selvapuram,perur,mathampatti,kubbanur"
35A,"townhall,vedapatti,thondamuthur,mathampatti,kubbanur"
35B,"selvapuram,perur,kalampalayam,mathampatti,kubbanur"
35C,"gandhipuram,townhall,selvapuram,perur,mathampatti,kubbanur"
35J,"kavundampalayam,annanagar,vadavalli,thondamuthur,mathampatti,kuppanur"
36,"nehru nagar,sitra,hopes,lakshmi mills,gandhipuram,saibaba colony"
37,"ramanathapuram,singanallur,ondipudur,pappampatti pirivu,pallapalayam"
38,"townhall,railway station,gandhipuram,kavundampalayam,thudiyalur"
38A,"townhall,railway station,gandhipuram,kavundampalayam,thudiyalur"
39,"railway station,peelamedu,hopes,sitra,chinniampalayam"
39A,"railway station,ramanathapuram,lakshmi mills,hopes,sitra,kmch"
40,"saibaba colony,gandhipuram,peelamedu,sitra,nehru nagar"
40A,"peelamedu,sitra,chinniampalayam,nilambur,mathapur"
40B,"peelamedu,sitra,chinniampalayam,nilambur,mathapur"
41A,"peelamedu,sitra,chinniampalayam,nilambur,muthugoundanputhur,sulur"
41B,"peelamedu,sitra,chinniampalayam,kaniyur,karumathampatti"
41C,"peelamedu,sitra,chinniampalayam,kaniyur,karumathampatti"
41D,"peelamedu,sitra,chinniampalayam,nilambur,muthugoundanputhur"
41F,"peelamedu,sitra,chinniampalayam,nilambur,muthugoundanputhur,sulur"
42A,"ramanathapuram,singanallur,ondipudur,irurgur"
43,"gh,sungam,ramanathapuram,singanallur"
43A,"singanallur,ramanathapuram,railway station,gandhipuram,ganapathy"
43B,"railway station,gandhipuram,ganapathy,maniyakaram palayam"
44,"railway station,peelamedu,hopes,sitra,kmch"
44A,"railway station,peelamedu,hopes,sitra,kmch,serayampalayam"
44C,"railway station,peelamedu,kalapatti,serayampalayam"
45,"ganapathy,saravanampatti,kovilpalayam,melkadhavukarai"
45,"gandhipuram,ganapathy,saravanampatti,kovilpalayam"
45B,"gandhipuram,ganapathy,saravanampatti,kovilpalayam"
45C,"ganapathy,saravanampatti,kovilpalayam,ganeshapuram"
45D,"ganapathy,saravanampatti,kovilpalayam,telungupalayam"
45E,"ganapathy,saravanampatti,kovilpalayam"
45G,"gandhipuram,ganapathy,saravanampatti,kurumbapalayam"
46,"vadavalli,p.n.pudhur,townhall,ukkadam,pothanur"
47,"townhall,ukkadam,sundarapuram,eachanari,malumichampatti"
47A,"townhall,ukkadam,sundarapuram,eachanari,othakal mandapam"
48,"ukkadam,kunamuthur,kg.chavadi,pichanur"
48A,"eachanari,sundharapuram,madhukarai market,paladhurai"
48B,"railway station,ukkadam,kuniamuthur,madukarai,kg.chavadi,velandhavalam"
48D,"railway station,ukkadam,kuniamuthur,mailkal,madukarai"
50,"railway station,townhall,ukkadam,sundarapuram,paladhurai,madukkarai market"
50A,"gandhipuram,railway station,townhall,ukkadam,sundarapuram,paladhurai,madukkarai market"
50B,"railway station,ukkadam,sundarapuram"
73C,"railway station,ukkadam,sundarapuram"
50C,"ganapathy,gandhipuram,townhall,ukkadam"
51,"railway station,townhall,ukkadam,pothanur,vellalore"
52,"ramanathapuram,singanallur,ondipudur,pappampatti pirivu,pappampatti"
53,"gandhipuram,railway station,ukkadam,pothanur"
54,"railway station,selvapuram,perur,pachapalayam,mathampatti"
55,"railway station,ukkadam,pothanur,vellalore"
55A,"gandhipuram,railway station,ukkadam,pothanur,vellalore"
55B,"railway station,ukkadam,pothanur,vellalore"
55C,"railway station,townhall,ukkadam,pothanur,vellalore"
56,"railway station,perur,mathampatti,thondamuthur,thenamanallur"
57,"railway station,gandhipuram,ganapathy,saravanampatti"
57A,"peelamedu,cheranmanagar,vilankurichi,kalapatti,kovilpalayam"
